addr:TW:dataset,source,addr:country,addr:province,addr:city,addr:district,addr:village,addr:neighborhood,addr:street,addr:housenumber,addr:full,description,x,y
166201,雲林縣政府,TW,台灣省,雲林縣,麥寮鄉,麥豐村,27,中山路437巷,9之10,雲林縣麥寮鄉麥豐村27鄰中山路437巷9之10號,違章建築,173238.438,2627536.446
166201,雲林縣政府,TW,台灣省,雲林縣,麥寮鄉,麥豐村,27,中山路437巷,25之13,雲林縣麥寮鄉麥豐村27鄰中山路437巷25之13號,違章建築,173142.952,2627291.395
166201,雲林縣政府,TW,台灣省,雲林縣,麥寮鄉,麥豐村,27,中山路437巷,25之17,雲林縣麥寮鄉麥豐村27鄰中山路437巷25之17號,違章建築,173142.809,2627286.625
166201,雲林縣政府,TW,台灣省,雲林縣,麥寮鄉,麥豐村,27,中山路437巷,25之19,雲林縣麥寮鄉麥豐村27鄰中山路437巷25之19號,違章建築,173142.809,2627282.127
166201,雲林縣政府,TW,台灣省,雲林縣,麥寮鄉,麥豐村,27,中山路437巷,25之9,雲林縣麥寮鄉麥豐村27鄰中山路437巷25之9號,違章建築,173168.085,2627311.34
166201,雲林縣政府,TW,台灣省,雲林縣,麥寮鄉,麥豐村,3,光復南路,10之31,雲林縣麥寮鄉麥豐村3鄰光復南路10之31號,違章建築,174079.487,2626191.568
166201,雲林縣政府,TW,台灣省,雲林縣,麥寮鄉,麥豐村,19,復興路,10之1,雲林縣麥寮鄉麥豐村19鄰復興路10之1號,違章建築,174086.347,2627229.82
166201,雲林縣政府,TW,台灣省,雲林縣,麥寮鄉,麥豐村,22,新興路,17之10,雲林縣麥寮鄉麥豐村22鄰新興路17之10號,違章建築,173647.433,2627092.674
166201,雲林縣政府,TW,台灣省,雲林縣,麥寮鄉,麥豐村,22,新興路,17之42,雲林縣麥寮鄉麥豐村22鄰新興路17之42號,違章建築,173564.65,2627077.431
166201,雲林縣政府,TW,台灣省,雲林縣,麥寮鄉,麥豐村,22,新興路,17之50,雲林縣麥寮鄉麥豐村22鄰新興路17之50號,違章建築,173528.396,2627070.356
166201,雲林縣政府,TW,台灣省,雲林縣,麥寮鄉,麥豐村,21,自強路,180,雲林縣麥寮鄉麥豐村21鄰自強路180號,違章建築,173864.016,2627140.481
166201,雲林縣政府,TW,台灣省,雲林縣,東勢鄉,同安村,12,同安路,93之18,雲林縣東勢鄉同安村12鄰同安路93之18號,農業設施,176083.37,2624308.134
166201,雲林縣政府,TW,台灣省,雲林縣,東勢鄉,東北村,11,康南路,136之38,雲林縣東勢鄉東北村11鄰康南路136之38號,農業設施,175022.09,2620029.19
166201,雲林縣政府,TW,台灣省,雲林縣,東勢鄉,東南村,9,懷恩街,42,雲林縣東勢鄉東南村9鄰懷恩街42號,雲林縣東勢鄉戶政事務所,173749.763,2619461.042
166201,雲林縣政府,TW,台灣省,雲林縣,褒忠鄉,中勝村,9,中勝路,65之36,雲林縣褒忠鄉中勝村9鄰中勝路65之36號,農業資材室,179259.735,2621853.194
166201,雲林縣政府,TW,台灣省,雲林縣,褒忠鄉,中勝村,9,中勝路,65,雲林縣褒忠鄉中勝村9鄰中勝路65號,農業資材室,179576.551,2621967.984
166201,雲林縣政府,TW,台灣省,雲林縣,褒忠鄉,中勝村,12,中正路,348,雲林縣褒忠鄉中勝村12鄰中正路348號,褒忠市場,179473.148,2621304.758
166201,雲林縣政府,TW,台灣省,雲林縣,褒忠鄉,中勝村,14,泰安路,3,雲林縣褒忠鄉中勝村14鄰泰安路3號,雲林縣褒忠鄉戶政事務所,179095.38,2621156.16
166201,雲林縣政府,TW,台灣省,雲林縣,褒忠鄉,中民村,8,中正路,151,雲林縣褒忠鄉中民村8鄰中正路151號,褒忠零售市場,179820.14,2621338.93
166201,雲林縣政府,TW,台灣省,雲林縣,褒忠鄉,中民村,19,中正路,1之38,雲林縣褒忠鄉中民村19鄰中正路1之38號,農業用溫室,181398.04,2621724.24
166201,雲林縣政府,TW,台灣省,雲林縣,褒忠鄉,中民村,19,中正路,1之36,雲林縣褒忠鄉中民村19鄰中正路1之36號,農業用溫室,181473.49,2621746.15
166201,雲林縣政府,TW,台灣省,雲林縣,褒忠鄉,中民村,4,中正路,10之20,雲林縣褒忠鄉中民村4鄰中正路10之20號,農業設施不得設籍,181541.87,2621920.52
166201,雲林縣政府,TW,台灣省,雲林縣,褒忠鄉,中民村,13,中正路,479之12,雲林縣褒忠鄉中民村13鄰中正路479之12號,農業用溫室,178798.202,2620885.047
166201,雲林縣政府,TW,台灣省,雲林縣,褒忠鄉,埔姜村,4,中正路,168,雲林縣褒忠鄉埔姜村4鄰中正路168號,仁人商行,179918.79,2621422.33
166201,雲林縣政府,TW,台灣省,雲林縣,褒忠鄉,埔姜村,10,太湖路,6之20,雲林縣褒忠鄉埔姜村10鄰太湖路6之20號,農業設施,179669.32,2622722.63
166201,雲林縣政府,TW,台灣省,雲林縣,褒忠鄉,埔姜村,10,太湖路,9之5,雲林縣褒忠鄉埔姜村10鄰太湖路9之5號,農業用溫室,179894.411,2623161.522
166201,雲林縣政府,TW,台灣省,雲林縣,褒忠鄉,埔姜村,10,太湖路,10之6,雲林縣褒忠鄉埔姜村10鄰太湖路10之6號,農業用溫室,179996.31,2622574.943
166201,雲林縣政府,TW,台灣省,雲林縣,褒忠鄉,埔姜村,11,太湖路,16之18,雲林縣褒忠鄉埔姜村11鄰太湖路16之18號,農業設施,179355.02,2622575.47
166201,雲林縣政府,TW,台灣省,雲林縣,褒忠鄉,新湖村,14,復興路,40之23,雲林縣褒忠鄉新湖村14鄰復興路40之23號,農業用溫室,177233.98,2622344.28
