addr:country,addr:city,addr:district,addr:hamlet,addr:neighbourhood,addr:street,addr:housenumber,x,y,addr:TW:dataset
TW,臺中市,南區,平和里,5鄰,和平一巷2弄,2號,120.670552191498,24.119837412827,137998
TW,臺中市,南區,平和里,5鄰,和平一巷2弄,3號,120.670868162954,24.11992142568,137998
TW,臺中市,南區,平和里,7鄰,和平一巷2弄,4號,120.670556433804,24.119793900572,137998
TW,臺中市,南區,平和里,6鄰,和平一巷2弄,5號,120.670868590624,24.119869607236,137998
TW,臺中市,南區,平和里,7鄰,和平一巷2弄,6之1號,120.670434129498,24.119487081744,137998
TW,臺中市,南區,平和里,7鄰,和平一巷2弄,6號,120.670424917944,24.119703504109,137998
TW,臺中市,南區,平和里,7鄰,和平一巷2弄,6之2號,120.670434129498,24.119487081744,137998
TW,臺中市,南區,平和里,6鄰,和平一巷2弄,7號,120.670918850695,24.119912505544,137998
TW,臺中市,南區,平和里,7鄰,和平一巷2弄,8號,120.67047928539,24.119598375442,137998
TW,臺中市,南區,平和里,7鄰,和平一巷2弄,8之1號,120.67058280626,24.119729659536,137998
TW,臺中市,南區,平和里,6鄰,和平一巷2弄,9號,120.670932710194,24.119878675386,137998
TW,臺中市,南區,平和里,7鄰,和平一巷2弄,10號,120.670529785353,24.11967428565,137998
TW,臺中市,南區,平和里,7鄰,和平一巷2弄,12號,120.670664898564,24.119777520467,137998
TW,臺中市,南區,平和里,7鄰,和平一巷2弄,14號,120.670715405266,24.119797042419,137998
TW,臺中市,南區,平和里,6鄰,和平一巷2弄,15號,120.671064117028,24.119889161547,137998
TW,臺中市,南區,平和里,7鄰,和平一巷2弄,16號,120.670709824404,24.119901942255,137998
TW,臺中市,南區,平和里,6鄰,和平一巷2弄,17號,120.671132034935,24.119874779574,137998
TW,臺中市,南區,平和里,7鄰,和平一巷2弄,18號,120.670755595805,24.119853562402,137998
TW,臺中市,南區,平和里,6鄰,和平一巷2弄,19號,120.671121733955,24.119769601736,137998
TW,臺中市,南區,平和里,6鄰,和平一巷2弄,19之1號,120.67112990462,24.119784481616,137998
TW,臺中市,南區,平和里,7鄰,和平一巷2弄,20號,120.670769026978,24.11979490066,137998
TW,臺中市,南區,平和里,6鄰,和平一巷2弄,21號,120.670860716071,24.119794737066,137998
TW,臺中市,南區,平和里,7鄰,和平一巷2弄,22號,120.670735607004,24.119706792593,137998
TW,臺中市,南區,平和里,6鄰,和平一巷2弄,23號,120.670921419273,24.119792511188,137998
TW,臺中市,南區,平和里,7鄰,和平一巷2弄,24號,120.670640871451,24.119744141383,137998
TW,臺中市,南區,平和里,6鄰,和平一巷2弄,25號,120.67085409078,24.119730695762,137998
TW,臺中市,南區,平和里,7鄰,和平一巷2弄,26號,120.670639784349,24.119784509205,137998
TW,臺中市,南區,平和里,6鄰,和平一巷2弄,27號,120.670892857413,24.11972852195,137998
TW,臺中市,南區,平和里,7鄰,和平一巷2弄,28號,120.670661013024,24.119600537084,137998
TW,臺中市,南區,平和里,6鄰,和平一巷2弄,29號,120.670929754866,24.119726344103,137998
TW,臺中市,南區,平和里,7鄰,和平一巷2弄,30號,120.670755157747,24.119601814511,137998
TW,臺中市,南區,平和里,6鄰,和平一巷2弄,31號,120.670964974123,24.119726419966,137998
TW,臺中市,南區,平和里,6鄰,和平一巷2弄,33號,120.671021369791,24.119755173455,137998
TW,臺中市,南區,平和里,7鄰,和平一巷2弄,34號,120.67069819705,24.119601691735,137998
TW,臺中市,南區,平和里,6鄰,和平一巷2弄,35號,120.670853931718,24.11963941785,137998
TW,臺中市,南區,平和里,7鄰,和平一巷2弄,36號,120.670595479308,24.119644359629,137998
TW,臺中市,南區,平和里,6鄰,和平一巷2弄,37號,120.670912072929,24.119639172908,137998
TW,臺中市,南區,平和里,7鄰,和平一巷2弄,38號,120.670552836312,24.119600529562,137998
TW,臺中市,南區,平和里,6鄰,和平一巷2弄,39號,120.670967165136,24.11963902973,137998
TW,臺中市,南區,平和里,7鄰,和平一巷2弄,40號,120.670778063601,24.119523579524,137998
TW,臺中市,南區,平和里,6鄰,和平一巷2弄,41號,120.671016550303,24.119639316678,137998
TW,臺中市,南區,平和里,7鄰,和平一巷2弄,42號,120.670780299056,24.119495773982,137998
TW,臺中市,南區,平和里,6鄰,和平一巷2弄,43號,120.6708544786,24.119579455199,137998
TW,臺中市,南區,平和里,6鄰,和平一巷2弄,45號,120.67089323843,24.119579538707,137998
TW,臺中市,南區,平和里,7鄰,和平一巷2弄,46號,120.670733984021,24.119495222695,137998
TW,臺中市,南區,平和里,6鄰,和平一巷2弄,47號,120.670931704111,24.119579621571,137998
TW,臺中市,南區,平和里,7鄰,和平一巷2弄,48之1號,120.670680661934,24.119495658545,137998
TW,臺中市,南區,平和里,6鄰,和平一巷2弄,49號,120.670967316839,24.119579698281,137998
TW,臺中市,南區,平和里,7鄰,和平一巷2弄,50號,120.670607254885,24.119502272283,137998
TW,臺中市,南區,平和里,6鄰,和平一巷2弄,51號,120.671018074682,24.119585631521,137998
TW,臺中市,南區,平和里,7鄰,和平一巷2弄,52號,120.670760822238,24.119425754642,137998
TW,臺中市,南區,平和里,6鄰,和平一巷2弄,53號,120.671126659872,24.119591328075,137998
TW,臺中市,南區,平和里,6鄰,和平一巷2弄,53之1號,120.671119278734,24.11962667107,137998
TW,臺中市,南區,平和里,7鄰,和平一巷2弄,54號,120.670719185163,24.119434793559,137998
TW,臺中市,南區,平和里,6鄰,和平一巷2弄,55號,120.671125965152,24.11955520923,137998
TW,臺中市,南區,平和里,7鄰,和平一巷2弄,56號,120.670691144778,24.119435816636,137998
TW,臺中市,南區,平和里,6鄰,和平一巷2弄,57號,120.670857749469,24.11949260905,137998
TW,臺中市,南區,平和里,7鄰,和平一巷2弄,58號,120.670648747064,24.119434542391,137998
TW,臺中市,南區,平和里,6鄰,和平一巷2弄,59號,120.670901428155,24.119492703154,137998
TW,臺中市,南區,平和里,6鄰,和平一巷2弄,61號,120.670942587199,24.11949017331,137998
TW,臺中市,南區,平和里,7鄰,和平一巷2弄,62號,120.670591982943,24.119434519323,137998
TW,臺中市,南區,平和里,6鄰,和平一巷2弄,63號,120.670983689054,24.119494234747,137998
TW,臺中市,南區,平和里,7鄰,和平一巷2弄,64號,120.670815082788,24.119366106391,137998
TW,臺中市,南區,平和里,6鄰,和平一巷2弄,65號,120.671016727727,24.119492951501,137998
TW,臺中市,南區,平和里,7鄰,和平一巷2弄,66號,120.670751545223,24.119360371274,137998
TW,臺中市,南區,平和里,6鄰,和平一巷2弄,67號,120.670846792697,24.119430454572,137998
TW,臺中市,南區,平和里,7鄰,和平一巷2弄,68號,120.670661006236,24.119372546302,137998
TW,臺中市,南區,平和里,6鄰,和平一巷2弄,69號,120.670886488261,24.119430458833,137998
TW,臺中市,南區,平和里,7鄰,和平一巷2弄,70號,120.670561110562,24.119389306062,137998
TW,臺中市,南區,平和里,6鄰,和平一巷2弄,73號,120.670940443482,24.119432101023,137998
TW,臺中市,南區,平和里,6鄰,和平一巷2弄,75號,120.670978712802,24.119432011894,137998
TW,臺中市,南區,平和里,6鄰,和平一巷2弄,77號,120.671011569093,24.119432795974,137998
TW,臺中市,南區,平和里,6鄰,和平一巷2弄,79號,120.671057290646,24.119442293973,137998
TW,臺中市,南區,平和里,6鄰,和平一巷2弄,81號,120.671139622042,24.119438940762,137998
TW,臺中市,南區,平和里,6鄰,和平一巷2弄,83號,120.67099488124,24.119349283808,137998
TW,臺中市,南區,樹義里,20鄰,樹義五巷137弄,1號,120.655247123344,24.109149052414,137998
TW,臺中市,南區,樹義里,20鄰,樹義五巷137弄,2號,120.654913040486,24.109156054541,137998
TW,臺中市,南區,樹義里,20鄰,樹義五巷137弄,3號,120.655247998482,24.109189596124,137998
TW,臺中市,南區,樹義里,20鄰,樹義五巷137弄,4號,120.654913813736,24.109197871159,137998
TW,臺中市,南區,樹義里,20鄰,樹義五巷137弄,5號,120.65524896887,24.109231304834,137998
TW,臺中市,南區,樹義里,20鄰,樹義五巷137弄,6號,120.654914593327,24.109237322105,137998
TW,臺中市,南區,樹義里,20鄰,樹義五巷137弄,7號,120.655249548657,24.109271938171,137998
