source,addr:TW:dataset,addr:country,addr:city,addr:district,addr:hamlet,addr:neighbourhood,addr:place,addr:housenumber,addr:full,description,x,y
高雄市政府,160248,TW,高雄市,內門區,內門里,5,墩子脚,19之5號,高雄市內門區內門里5鄰墩子脚19之5號,豬舍不得設籍,195397.160,2538323.790
高雄市政府,160248,TW,高雄市,內門區,東埔里,8,東勢埔,19之10號,高雄市內門區東埔里8鄰東勢埔19之10號,資材室,195891.520,2537420.600
高雄市政府,160248,TW,高雄市,內門區,東埔里,5,東勢埔,40之18號,高雄市內門區東埔里5鄰東勢埔40之18號,雞舍不得設籍,196223.700,2536234.650
高雄市政府,160248,TW,高雄市,內門區,溝坪里,6,久采,7之1號,高雄市內門區溝坪里6鄰久采7之1號,集貨及包裝處理場,198248.960,2543292.850
高雄市政府,160248,TW,高雄市,內門區,溝坪里,7,華園,11之12號,高雄市內門區溝坪里7鄰華園11之12號,資材室不得設籍,198506.640,2543678.790
高雄市政府,160248,TW,高雄市,內門區,溝坪里,7,華園,39之6號,高雄市內門區溝坪里7鄰華園39之6號,農業設施不得設籍,197350.780,2544561.720
高雄市政府,160248,TW,高雄市,內門區,溝坪里,10,華園,50之3號,高雄市內門區溝坪里10鄰華園50之3號,農業設施不得設籍,198417.860,2544972.730
高雄市政府,160248,TW,高雄市,內門區,石坑里,2,隘寮,10之12號,高雄市內門區石坑里2鄰隘寮10之12號,農業資材室不得設籍,195463.710,2538868.730
高雄市政府,160248,TW,高雄市,茂林區,茂林里,1,茂林巷,13之1號,高雄市茂林區茂林里1鄰茂林巷13之1號,美濃戶政事務所茂林辦公處,215518.330,2531769.560
高雄市政府,160248,TW,高雄市,桃源區,梅山里,3,梅山巷,300號,高雄市桃源區梅山里3鄰梅山巷300號,塔芬谷山屋,252731.230,2590754.280
高雄市政府,160248,TW,高雄市,那瑪夏區,達卡努瓦里,7,大光巷,232號,高雄市那瑪夏區達卡努瓦里7鄰大光巷232號,高雄市旗山戶政事務所那瑪夏辦公處,221368.250,2574952.970
高雄市政府,160248,TW,高雄市,桃源區,桃源里,7,南進巷,200號,高雄市桃源區桃源里7鄰南進巷200號,高雄市美濃戶政事務所桃源辦公處,225853.510,2561796.880
