addr:country,addr:province,addr:city,addr:district,addr:hamlet,addr:neighbourhood,addr:street,addr:housenumber,addr:floor,addr:full,x,y,addr:TW:dataset,source
TW,台灣省,屏東縣,枋寮鄉,枋寮村,20,中山路,255之2號,1;2,屏東縣枋寮鄉枋寮村20鄰中山路255之2號一二樓,208141.5,2474344.49,170847,屏東縣政府
TW,台灣省,屏東縣,枋寮鄉,枋寮村,20,中山路,255之3號,3;4,屏東縣枋寮鄉枋寮村20鄰中山路255之3號三、四樓,208141.5,2474344.49,170847,屏東縣政府
