source,addr:TW:dataset,addr:country,addr:city,addr:district,addr:hamlet,addr:neighbourhood,addr:street,addr:place,addr:housenumber,addr:floor,addr:full,description,x,y
桃園市政府,157689,TW,桃園市,平鎮區,新富里,1,德育路,,242號,,桃園市平鎮區新富里1鄰德育路242號,平鎮區戶政事務所,272094.350,2759790.420
桃園市政府,157689,TW,桃園市,平鎮區,鎮興里,23,新光路五段,,226號,,桃園市平鎮區鎮興里23鄰新光路五段226號,農業資材室,270444.470,2755708.810
桃園市政府,157689,TW,桃園市,新屋區,新屋里,11,中山路,,241號,3,桃園市新屋區新屋里11鄰中山路241號三樓,桃園市新屋區戶政事務所,260756.790,2762752.520
桃園市政府,157689,TW,桃園市,新屋區,槺榔里,6,香坡三路,,26號,,桃園市新屋區槺榔里6鄰香坡三路26號,農業資材室,253782.290,2762522.830
桃園市政府,157689,TW,桃園市,新屋區,清華里,15,新文路817巷,,99號,,桃園市新屋區清華里15鄰新文路817巷99號,農業資材室,262117.470,2763997.170
桃園市政府,157689,TW,桃園市,新屋區,清華里,12,新文路1391巷,,52號,,桃園市新屋區清華里12鄰新文路1391巷52號,農業資材室,262674.900,2765005.210
桃園市政府,157689,TW,桃園市,新屋區,石磊里,12,三民路二段246巷,,55號,,桃園市新屋區石磊里12鄰三民路二段246巷55號,農業資材室,258113.790,2765073.530
桃園市政府,157689,TW,桃園市,觀音區,廣興里,17,廣玉路,,630號,,桃園市觀音區廣興里17鄰廣玉路630號,房屋已拆除,260121.060,2770559.320
桃園市政府,157689,TW,桃園市,觀音區,觀音里,19,觀和路,,28號,,桃園市觀音區觀音里19鄰觀和路28號,桃園市觀音區戶政事務所,258390.860,2768873.900
桃園市政府,157689,TW,桃園市,觀音區,金湖里,8,金橋路育仁段574巷,,190號,,桃園市觀音區金湖里8鄰金橋路育仁段574巷190號,農業資材室不得設籍,261189.120,2767575.320
桃園市政府,157689,TW,桃園市,復興區,澤仁里,14,中正路,,180號,,桃園市復興區澤仁里14鄰中正路180號,復興區戶政事務所,285478.010,2745794.630
桃園市政府,157689,TW,桃園市,新屋區,下田里,4,,下田心子,29之11號,,桃園市新屋區下田里4鄰下田心子29之11號,農業資材室,254609.530,2763620.050
桃園市政府,157689,TW,桃園市,新屋區,大坡里,3,,大坡,13之5號,,桃園市新屋區大坡里3鄰大坡13之5號,農業資材室,255980.390,2761076.940
桃園市政府,157689,TW,桃園市,新屋區,後湖里,5,,後湖,19之9號,,桃園市新屋區後湖里5鄰後湖19之9號,農業資材室,258856.970,2763831.770
桃園市政府,157689,TW,桃園市,新屋區,東明里,5,,甲頭厝,25號,,桃園市新屋區東明里5鄰甲頭厝25號,農業資材室,258424.750,2763020.700
桃園市政府,157689,TW,桃園市,新屋區,清華里,8,,紅坭坡,12之2號,,桃園市新屋區清華里8鄰紅坭坡12之2號,農業資材室,262983.130,2762557.530
桃園市政府,157689,TW,桃園市,新屋區,社子里,5,,社子,27之9號,,桃園市新屋區社子里5鄰社子27之9號,農業資材室,257974.040,2761316.860
桃園市政府,157689,TW,桃園市,新屋區,笨港里,11,,笨子港,12號,,桃園市新屋區笨港里11鄰笨子港12號,農業資材室,253211.430,2763704.680
桃園市政府,157689,TW,桃園市,新屋區,赤欄里,1,,赤牛欄,9之31號,,桃園市新屋區赤欄里1鄰赤牛欄9之31號,農業資材室,257856.360,2764145.870
桃園市政府,157689,TW,桃園市,新屋區,石磊里,2,,石磊,4之13號,,桃園市新屋區石磊里2鄰石磊4之13號,等17戶,260524.650,2764190.110
桃園市政府,157689,TW,桃園市,龜山區,樂善里,10,,,,,桃園市龜山區樂善里10鄰,預留,288756.120,2771684.060
