addr:country,addr:province,addr:city,addr:district,addr:hamlet,addr:neighbourhood,addr:street,addr:housenumber,addr:floor,addr:unit,addr:full,x,y,addr:TW:dataset,source
TW,台灣省,澎湖縣,馬公市,中央里,2,中央街,20之1號,,,澎湖縣馬公市中央里2鄰中央街20之1號,307661.624,2606923.99,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,11,中央街,21號,,,澎湖縣馬公市中央里11鄰中央街21號,307652.43,2606933.851,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,2,中央街,22號,,,澎湖縣馬公市中央里2鄰中央街22號,307662.518,2606931.314,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,2,中央街,22號,,1,澎湖縣馬公市中央里2鄰中央街22號之1,307664.82,2606933.616,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,11,中央街,23號,,,澎湖縣馬公市中央里11鄰中央街23號,307653.318,2606940.33,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,2,中央街,24號,,,澎湖縣馬公市中央里2鄰中央街24號,307665.62,2606936.718,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,2,中央街,30號,,,澎湖縣馬公市中央里2鄰中央街30號,307669.723,2606954.563,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,11,中央街,31號,,,澎湖縣馬公市中央里11鄰中央街31號,307662.576,2606957.476,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,2,中央街,32號,,,澎湖縣馬公市中央里2鄰中央街32號,307670.981,2606958.763,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,2,中央街,34號,,,澎湖縣馬公市中央里2鄰中央街34號,307671.411,2606963.367,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,11,中央街,35號,,,澎湖縣馬公市中央里11鄰中央街35號,307664.879,2606965.913,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,1,中央街,36號,,,澎湖縣馬公市中央里1鄰中央街36號,307674.623,2606973.21,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,11,中央街,37號,,,澎湖縣馬公市中央里11鄰中央街37號,307665.508,2606970.008,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,1,中央街,38號,,,澎湖縣馬公市中央里1鄰中央街38號,307676.799,2606982.329,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,11,中央街,39號,,,澎湖縣馬公市中央里11鄰中央街39號,307659.524,2606977.252,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,15,中央街,40號,,,澎湖縣馬公市中央里15鄰中央街40號,307671.307,2606986.265,170852,澎湖縣政府
